Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0240126167	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0480252334	0	0	0	0	0	0	0	0	0	0	3
3	2	0	0.0720378502	0	0	0	0	0	0	0	0	0	0	3
4	2	0	0.0960504669	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.120063084	0	0	0	0	0	0	0	0	0	0	3
6	3	0	0.1440757	0	0	0	0	0	0	0	0	0	0	3
7	3	0	0.168088317	0	0	0	0	0	0	0	0	0	0	3
8	3	0	0.192100934	0	0	0	0	0	0	0	0	0	0	3
9	3	0	0.21611355	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.240126167	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.264138784	0	0	0	0	0	0	0	0	0	0	3
12	4	0	0.288151401	0	0	0	0	0	0	0	0	0	0	3
13	4	0	0.312164017	0	0	0	0	0	0	0	0	0	0	3
14	4	0	0.336176634	0	0	0	0	0	0	0	0	0	0	3
15	4	0	0.360189251	0	0	0	0	0	0	0	0	0	0	3
16	4	0	0.384201867	0	0	0	0	0	0	0	0	0	0	3
17	4	0	0.408214484	0	0	0	0	0	0	0	0	0	0	3
18	4	0	0.432227101	0	0	0	0	0	0	0	0	0	0	3
19	5	0	0.456239718	0	0	0	0	0	0	0	0	0	0	3
20	5	0	0.480252334	0	0	0	0	0	0	0	0	0	0	3
21	5	0	0.504264951	0	0	0	0	0	0	0	0	0	0	3
22	5	0	0.528277568	0	0	0	0	0	0	0	0	0	0	3
23	5	0	0.552290185	0	0	0	0	0	0	0	0	0	0	3
24	5	0	0.576302801	0	0	0	0	0	0	0	0	0	0	3
25	5	0	0.600315418	0	0	0	0	0	0	0	0	0	0	3
26	6	0	0.624328035	0	0	0	0	0	0	0	0	0	0	3
27	6	0	0.648340651	0	0	0	0	0	0	0	0	0	0	3
28	6	0	0.672353268	0	0	0	0	0	0	0	0	0	0	3
29	6	0	0.696365885	0	0	0	0	0	0	0	0	0	0	3
30	6	0	0.720378502	0	0	0	0	0	0	0	0	0	0	3
31	6	0	0.744391118	0	0	0	0	0	0	0	0	0	0	3
32	6	0	0.768403735	0	0	0	0	0	0	0	0	0	0	3
33	7	0	0.792416352	0	0	0	0	0	0	0	0	0	0	3
34	7	0	0.816428968	0	0	0	0	0	0	0	0	0	0	3
35	7	0	0.840441585	0	0	0	0	0	0	0	0	0	0	3
36	7	0	0.864454202	0	0	0	0	0	0	0	0	0	0	3
37	7	0	0.888466819	0	0	0	0	0	0	0	0	0	0	3
38	7	0	0.912479435	0	0	0	0	0	0	0	0	0	0	3
39	7	0	0.936492052	0	0	0	0	0	0	0	0	0	0	3
40	7	0	0.960504669	0	0	0	0	0	0	0	0	0	0	3
41	8	0	0.984517285	0	0	0	0	0	0	0	0	0	0	3
42	8	0	1.0085299	0	0	0	0	0	5e-06	0	100	0	0	3
43	8	0	1.03254252	0	0	0	0	0	5e-06	0	100	0	0	3
44	8	0	1.05655514	0	0	0	0	0	5e-06	0	100	0	0	3
45	8	0	1.08056775	0	0	0	0	0	5e-06	0	100	0	0	3
46	8	0	1.10458037	0	0	0	0	0	5e-06	0	100	0	0	3
47	8	0	1.12859299	0	0	0	0	0	5e-06	0	100	0	0	3
48	8	0	1.1526056	0	0	0	0	0	5e-06	0	100	0	0	3
49	8	0	1.17661822	0	0	0	0	0	5e-06	0	100	0	0	3
50	8	0	1.20063084	0	0	0	0	0	5e-06	0	100	0	0	3
51	8	0	1.22464345	0	0	0	0	0	5e-06	0	100	0	0	3
52	9	0	1.24865607	0	0	0	0	0	5e-06	0	100	0	0	3
53	9	0	1.27266869	0	0	0	0	0	5e-06	0	100	0	0	3
54	9	0	1.2966813	0	0	0	0	0	5e-06	0	100	0	0	3
55	9	0	1.32069392	0	0	0	0	0	5e-06	0	100	0	0	3
56	9	0	1.34470654	0	0	0	0	0	5e-06	0	100	0	0	3
57	9	0	1.36871915	0	0	0	0	0	5e-06	0	100	0	0	3
58	9	0	1.39273177	0	0	0	0	0	5e-06	0	100	0	0	3
59	9	0	1.41674439	0	0	0	0	0	5e-06	0	100	0	0	3
60	9	0	1.440757	0	0	0	0	0	5e-06	0	100	0	0	3
61	9	0	1.46476962	0	0	0	0	0	5e-06	0	100	0	0	3
62	9	0	1.48878224	0	0	0	0	0	5e-06	0	100	0	0	3
