Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0240126167	-2.26371107e-09	-2.26371107e-09	-2.26371107e-09	-2.26371107e-09	0	0	0	0	0	0	3
2	2	0	0.0480252334	-7.44640023e-10	-1.50417555e-09	-2.26371107e-09	-7.44640023e-10	7.59535525e-10	0	0	0	0	0	3
3	2	0	0.0720378502	-4.49476396e-10	-1.15260916e-09	-2.26371107e-09	-4.49476396e-10	1.11110191e-09	0	0	0	0	0	3
4	2	0	0.0960504669	2.71279808e-10	-7.96636921e-10	-2.26371107e-09	2.71279808e-10	1.46707415e-09	0	0	0	0	0	3
5	2	0	0.120063084	3.44751621e-10	-5.68359213e-10	-2.26371107e-09	3.44751621e-10	1.69535186e-09	0	0	0	0	0	3
6	3	0	0.1440757	1.10221016e-09	-2.89930985e-10	-2.26371107e-09	1.10221016e-09	1.97378009e-09	0	0	0	0	0	3
7	3	0	0.168088317	-1.71602197e-09	-4.93658268e-10	-2.26371107e-09	1.10221016e-09	1.97378009e-09	0	0	0	0	0	3
8	3	0	0.192100934	5.43186948e-11	-4.25161148e-10	-2.26371107e-09	1.10221016e-09	1.97378009e-09	0	0	0	0	0	3
9	3	0	0.21611355	2.406205e-10	-3.51185409e-10	-2.26371107e-09	1.10221016e-09	1.97378009e-09	0	0	0	0	0	3
10	3	0	0.240126167	-4.04019801e-10	-3.56468848e-10	-2.26371107e-09	1.10221016e-09	1.97378009e-09	0	0	0	0	0	3
11	3	0	0.264138784	-1.16488403e-09	-4.29961137e-10	-2.26371107e-09	1.10221016e-09	1.97378009e-09	0	0	0	0	0	3
12	4	0	0.288151401	-5.10043517e-10	-4.36634669e-10	-2.26371107e-09	1.10221016e-09	1.97378009e-09	0	0	0	0	0	3
13	4	0	0.312164017	-1.57538487e-09	-5.24230838e-10	-2.26371107e-09	1.10221016e-09	1.97378009e-09	0	0	0	0	0	3
14	4	0	0.336176634	7.82281658e-10	-4.30908517e-10	-2.26371107e-09	1.10221016e-09	1.97378009e-09	0	0	0	0	0	3
15	4	0	0.360189251	-6.37953638e-10	-4.44711525e-10	-2.26371107e-09	1.10221016e-09	1.97378009e-09	0	0	0	0	0	3
16	4	0	0.384201867	7.54335526e-10	-3.69771084e-10	-2.26371107e-09	1.10221016e-09	1.97378009e-09	0	0	0	0	0	3
17	4	0	0.408214484	-6.49248855e-10	-3.86210953e-10	-2.26371107e-09	1.10221016e-09	1.97378009e-09	0	0	0	0	0	3
18	4	0	0.432227101	4.6496091e-11	-3.62171673e-10	-2.26371107e-09	1.10221016e-09	1.97378009e-09	0	0	0	0	0	3
19	5	0	0.456239718	5.38073248e-10	-3.14790361e-10	-2.26371107e-09	1.10221016e-09	1.97378009e-09	0	0	0	0	0	3
20	5	0	0.480252334	3.57839126e-10	-2.81158887e-10	-2.26371107e-09	1.10221016e-09	1.98255219e-09	0	0	0	0	0	3
21	5	0	0.504264951	-1.07877467e-09	-3.19140591e-10	-2.26371107e-09	1.10221016e-09	1.98255219e-09	0	0	0	0	0	3
22	5	0	0.528277568	3.22966952e-09	-5.75510389e-11	-1.71602197e-09	3.22966952e-09	1.44662451e-09	0	0	0	0	0	3
23	5	0	0.552290185	-3.80058752e-10	-4.0190026e-11	-1.71602197e-09	3.22966952e-09	1.11241914e-09	0	0	0	0	0	3
24	5	0	0.576302801	2.14600002e-09	8.34040893e-11	-1.71602197e-09	3.22966952e-09	8.80041011e-10	0	0	0	0	0	3
25	5	0	0.600315418	-1.54218638e-09	-2.95144329e-12	-1.71602197e-09	3.22966952e-09	6.51763302e-10	0	0	0	0	0	3
26	6	0	0.624328035	6.97987275e-10	1.38693021e-11	-1.71602197e-09	3.22966952e-09	6.07634927e-10	0	0	0	0	0	3
27	6	0	0.648340651	3.06059564e-10	-2.40426308e-11	-1.71602197e-09	3.22966952e-09	6.07634927e-10	0	0	0	0	0	3
28	6	0	0.672353268	1.41923241e-09	1.25255197e-10	-1.57538487e-09	3.22966952e-09	6.49486035e-10	0	0	0	0	0	3
29	6	0	0.696365885	-4.62229768e-09	-9.74408215e-11	-4.62229768e-09	3.22966952e-09	6.49486035e-10	0	0	0	0	0	3
30	6	0	0.720378502	3.57654492e-09	6.14127225e-11	-4.62229768e-09	3.57654492e-09	6.49486035e-10	0	0	0	0	0	3
31	6	0	0.744391118	-3.44369364e-09	-8.33336508e-11	-4.62229768e-09	3.57654492e-09	6.49486035e-10	0	0	0	0	0	3
32	6	0	0.768403735	1.40305419e-09	3.89491216e-11	-4.62229768e-09	3.57654492e-09	6.49486035e-10	0	0	0	0	0	3
33	7	0	0.792416352	-1.906887e-10	5.41564938e-11	-4.62229768e-09	3.57654492e-09	6.49486035e-10	0	0	0	0	0	3
34	7	0	0.816428968	2.60119066e-09	2.53041043e-10	-4.62229768e-09	3.57654492e-09	6.97752568e-10	0	0	0	0	0	3
35	7	0	0.840441585	-2.83720569e-09	8.06845025e-11	-4.62229768e-09	3.57654492e-09	6.97752568e-10	0	0	0	0	0	3
36	7	0	0.864454202	2.84234135e-09	2.46412835e-10	-4.62229768e-09	3.57654492e-09	6.39251996e-10	0	0	0	0	0	3
37	7	0	0.888466819	-2.04177361e-09	1.13264781e-10	-4.62229768e-09	3.57654492e-09	6.39251996e-10	0	0	0	0	0	3
38	7	0	0.912479435	2.18200952e-09	2.48086609e-10	-4.62229768e-09	3.57654492e-09	6.15212716e-10	0	0	0	0	0	3
39	7	0	0.936492052	1.61458879e-10	2.53561027e-10	-4.62229768e-09	3.57654492e-09	5.72701618e-10	0	0	0	0	0	3
40	7	0	0.960504669	-2.36430693e-09	1.15352447e-10	-4.62229768e-09	3.57654492e-09	5.72701618e-10	0	0	0	0	0	3
41	8	0	0.984517285	2.88739845e-09	2.35807653e-10	-4.62229768e-09	3.57654492e-09	5.72701618e-10	0	0	0	0	0	3
42	8	0	1.0085299	7.73173938e-10	3.23995683e-10	-4.62229768e-09	3.57654492e-09	4.21436504e-10	9.48042677e-05	0	100	0	0	3
43	8	0	1.03254252	-4.24762945e-10	1.49975089e-10	-4.62229768e-09	3.57654492e-09	4.21436504e-10	9.48042677e-05	0	100	0	0	3
44	8	0	1.05655514	-1.32049115e-09	1.05192594e-10	-4.62229768e-09	3.57654492e-09	4.21436504e-10	9.48042677e-05	0	100	0	0	3
45	8	0	1.08056775	1.84419761e-09	9.08210502e-11	-4.62229768e-09	3.57654492e-09	4.21436504e-10	9.48042677e-05	0	100	0	0	3
46	8	0	1.10458037	-1.75917418e-09	8.04882977e-11	-4.62229768e-09	3.57654492e-09	4.21436504e-10	9.48042677e-05	0	100	0	0	3
47	8	0	1.12859299	3.92380091e-10	6.59355747e-11	-4.62229768e-09	3.57654492e-09	4.21436504e-10	9.48042677e-05	0	100	0	0	3
48	8	0	1.1526056	1.32914872e-09	1.14654106e-10	-4.62229768e-09	3.57654492e-09	4.21436504e-10	9.48042677e-05	0	100	0	0	3
49	8	0	1.17661822	-2.27418585e-09	-6.12229542e-11	-4.62229768e-09	3.57654492e-09	4.21436504e-10	9.48042677e-05	0	100	0	0	3
50	8	0	1.20063084	1.49011993e-09	2.29844551e-10	-3.44369364e-09	3.57654492e-09	4.07329333e-10	9.48042677e-05	0	100	0	0	3
51	8	0	1.22464345	-2.68390898e-09	-6.82723016e-11	-3.44369364e-09	2.88739845e-09	4.07329333e-10	9.48042677e-05	0	100	0	0	3
52	9	0	1.24865607	7.86336316e-10	1.33157696e-10	-2.83720569e-09	2.88739845e-09	3.92267984e-10	9.48042677e-05	0	100	0	0	3
53	9	0	1.27266869	1.00892836e-09	1.143898e-10	-2.83720569e-09	2.88739845e-09	3.92267984e-10	9.48042677e-05	0	100	0	0	3
54	9	0	1.2966813	-3.14119296e-10	1.08512152e-10	-2.83720569e-09	2.88739845e-09	3.92267984e-10	9.48042677e-05	0	100	0	0	3
55	9	0	1.32069392	-1.32396357e-09	-7.83999539e-11	-2.83720569e-09	2.88739845e-09	4.02395636e-10	9.48042677e-05	0	100	0	0	3
56	9	0	1.34470654	2.52663482e-09	1.77021022e-10	-2.68390898e-09	2.88739845e-09	4.02395636e-10	9.48042677e-05	0	100	0	0	3
57	9	0	1.36871915	3.12752651e-11	4.31607327e-11	-2.68390898e-09	2.88739845e-09	4.02395636e-10	9.48042677e-05	0	100	0	0	3
58	9	0	1.39273177	-1.03655406e-09	9.10283304e-11	-2.68390898e-09	2.88739845e-09	4.02395636e-10	9.48042677e-05	0	100	0	0	3
59	9	0	1.41674439	-1.75474951e-09	-9.64363854e-11	-2.68390898e-09	2.88739845e-09	4.20432068e-10	9.48042677e-05	0	100	0	0	3
60	9	0	1.440757	3.38960403e-10	-8.79839319e-11	-2.68390898e-09	2.88739845e-09	4.20432068e-10	9.48042677e-05	0	100	0	0	3
61	9	0	1.46476962	-5.91603646e-10	-3.56948993e-12	-2.68390898e-09	2.88739845e-09	4.20432068e-10	9.48042677e-05	0	100	0	0	3
62	9	0	1.48878224	2.18697191e-09	-3.6923135e-11	-2.68390898e-09	2.52663482e-09	4.20432068e-10	9.48042677e-05	0	100	0	0	3
