Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0240126167	310.149973	310.149973	310.149973	310.149973	0	0	0	0	0	0	3
2	2	0	0.0480252334	310.14999	310.149981	310.149973	310.14999	8.58256794e-06	0	0	0	0	0	3
3	2	0	0.0720378502	310.14999	310.149984	310.149973	310.14999	1.16443379e-05	0	0	0	0	0	3
4	2	0	0.0960504669	310.149991	310.149986	310.149973	310.149991	1.3237028e-05	0	0	0	0	0	3
5	2	0	0.120063084	310.149991	310.149987	310.149973	310.149991	1.42290139e-05	0	0	0	0	0	3
6	3	0	0.1440757	310.149991	310.149987	310.149973	310.149991	1.49080108e-05	0	0	0	0	0	3
7	3	0	0.168088317	310.149991	310.149988	310.149973	310.149991	1.54261885e-05	0	0	0	0	0	3
8	3	0	0.192100934	310.149991	310.149988	310.149973	310.149991	1.58377023e-05	0	0	0	0	0	3
9	3	0	0.21611355	310.149991	310.149989	310.149973	310.149991	1.61694538e-05	0	0	0	0	0	3
10	3	0	0.240126167	310.149991	310.149989	310.149973	310.149991	1.64500791e-05	0	0	0	0	0	3
11	3	0	0.264138784	310.149992	310.149989	310.149973	310.149992	1.66984727e-05	0	0	0	0	0	3
12	4	0	0.288151401	310.149992	310.149989	310.149973	310.149992	1.69135557e-05	0	0	0	0	0	3
13	4	0	0.312164017	310.149992	310.14999	310.149973	310.149992	1.71120664e-05	0	0	0	0	0	3
14	4	0	0.336176634	310.149992	310.14999	310.149973	310.149992	1.72876891e-05	0	0	0	0	0	3
15	4	0	0.360189251	310.149992	310.14999	310.149973	310.149992	1.74492212e-05	0	0	0	0	0	3
16	4	0	0.384201867	310.149992	310.14999	310.149973	310.149992	1.76009511e-05	0	0	0	0	0	3
17	4	0	0.408214484	310.149993	310.14999	310.149973	310.149993	1.774574e-05	0	0	0	0	0	3
18	4	0	0.432227101	310.149993	310.14999	310.149973	310.149993	1.78864121e-05	0	0	0	0	0	3
19	5	0	0.456239718	310.149993	310.149991	310.149973	310.149993	1.80176851e-05	0	0	0	0	0	3
20	5	0	0.480252334	310.149993	310.149991	310.149973	310.149993	1.81490446e-05	0	0	0	0	0	3
21	5	0	0.504264951	310.149993	310.149991	310.149973	310.149993	1.82798155e-05	0	0	0	0	0	3
22	5	0	0.528277568	310.149994	310.149992	310.14999	310.149994	4.02546425e-06	0	0	0	0	0	3
23	5	0	0.552290185	310.149994	310.149992	310.14999	310.149994	3.69959696e-06	0	0	0	0	0	3
24	5	0	0.576302801	310.149994	310.149992	310.149991	310.149994	3.71123042e-06	0	0	0	0	0	3
25	5	0	0.600315418	310.149995	310.149992	310.149991	310.149995	3.81614888e-06	0	0	0	0	0	3
26	6	0	0.624328035	310.149995	310.149993	310.149991	310.149995	4.1735226e-06	0	0	0	0	0	3
27	6	0	0.648340651	310.149995	310.149993	310.149991	310.149995	4.30858302e-06	0	0	0	0	0	3
28	6	0	0.672353268	310.149996	310.149993	310.149991	310.149996	4.54150967e-06	0	0	0	0	0	3
29	6	0	0.696365885	310.149996	310.149993	310.149991	310.149996	4.58262059e-06	0	0	0	0	0	3
30	6	0	0.720378502	310.149996	310.149993	310.149991	310.149996	4.54560302e-06	0	0	0	0	0	3
31	6	0	0.744391118	310.149997	310.149994	310.149992	310.149997	4.55810289e-06	0	0	0	0	0	3
32	6	0	0.768403735	310.149997	310.149994	310.149992	310.149997	4.61331967e-06	0	0	0	0	0	3
33	7	0	0.792416352	310.149998	310.149994	310.149992	310.149998	4.69936475e-06	0	0	0	0	0	3
34	7	0	0.816428968	310.149998	310.149995	310.149992	310.149998	4.81478537e-06	0	0	0	0	0	3
35	7	0	0.840441585	310.149998	310.149995	310.149992	310.149998	4.95847405e-06	0	0	0	0	0	3
36	7	0	0.864454202	310.149999	310.149995	310.149992	310.149999	5.12907798e-06	0	0	0	0	0	3
37	7	0	0.888466819	310.149999	310.149996	310.149993	310.149999	5.32285748e-06	0	0	0	0	0	3
38	7	0	0.912479435	310.15	310.149996	310.149993	310.15	5.53385206e-06	0	0	0	0	0	3
39	7	0	0.936492052	310.15	310.149996	310.149993	310.15	5.76604072e-06	0	0	0	0	0	3
40	7	0	0.960504669	310.150001	310.149997	310.149993	310.150001	6.01167557e-06	0	0	0	0	0	3
41	8	0	0.984517285	310.150001	310.149997	310.149993	310.150001	6.27107153e-06	0	0	0	0	0	3
42	8	0	1.0085299	310.150002	310.149997	310.149994	310.150002	5.66214891e-06	3.10150002e-06	0	54.7	0	0	3
43	8	0	1.03254252	310.150002	310.149998	310.149994	310.150002	5.86279992e-06	3.10150002e-06	0	52.9	0	0	3
44	8	0	1.05655514	310.150003	310.149998	310.149994	310.150003	6.08140988e-06	3.10150003e-06	0	50.9	0	0	3
45	8	0	1.08056775	310.150003	310.149999	310.149995	310.150003	6.30093007e-06	3.10150003e-06	0	49.2	0	0	3
46	8	0	1.10458037	310.150003	310.149999	310.149995	310.150003	6.50872602e-06	3.10150003e-06	0	47.6	0	0	3
47	8	0	1.12859299	310.150003	310.149999	310.149995	310.150003	6.69575257e-06	3.10150003e-06	0	46.3	0	0	3
48	8	0	1.1526056	310.150004	310.15	310.149996	310.150004	6.86788053e-06	3.10150004e-06	0	45.1	0	0	3
49	8	0	1.17661822	310.150004	310.15	310.149996	310.150004	7.0180684e-06	3.10150004e-06	0	44.1	0	0	3
50	8	0	1.20063084	310.150004	310.150001	310.149996	310.150004	7.14981331e-06	3.10150004e-06	0	43.3	0	0	3
51	8	0	1.22464345	310.150004	310.150001	310.149997	310.150004	7.23668734e-06	3.10150004e-06	0	42.8	0	0	3
52	9	0	1.24865607	310.150004	310.150001	310.149997	310.150004	6.96594691e-06	3.10150004e-06	0	44.5	0	0	3
53	9	0	1.27266869	310.150004	310.150002	310.149998	310.150004	6.68477315e-06	3.10150004e-06	0	46.3	0	0	3
54	9	0	1.2966813	310.150005	310.150002	310.149998	310.150005	6.41103935e-06	3.10150005e-06	0	48.3	0	0	3
55	9	0	1.32069392	310.150005	310.150002	310.149998	310.150005	6.09248497e-06	3.10150005e-06	0	50.9	0	0	3
56	9	0	1.34470654	310.150005	310.150003	310.149999	310.150005	5.68763727e-06	3.10150005e-06	0	54.5	0	0	3
57	9	0	1.36871915	310.150005	310.150003	310.149999	310.150005	5.23045452e-06	3.10150005e-06	0	59.2	0	0	3
58	9	0	1.39273177	310.150005	310.150003	310.15	310.150005	4.80957652e-06	3.10150005e-06	0	64.4	0	0	3
59	9	0	1.41674439	310.150005	310.150003	310.15	310.150005	4.38294137e-06	3.10150005e-06	0	70.7	0	0	3
60	9	0	1.440757	310.150005	310.150004	310.150001	310.150005	4.01414326e-06	3.10150005e-06	0	77.2	0	0	3
61	9	0	1.46476962	310.150005	310.150004	310.150001	310.150005	3.49026044e-06	3.10150005e-06	0	88.8	0	0	3
62	9	0	1.48878224	310.150005	310.150004	310.150002	310.150005	3.05175598e-06	3.10150005e-06	0	100	0	0	3
