Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0240126167
2	2	0	0.0480252334
3	2	0	0.0720378502
4	2	0	0.0960504669
5	2	0	0.120063084
6	3	0	0.1440757
7	3	0	0.168088317
8	3	0	0.192100934
9	3	0	0.21611355
10	3	0	0.240126167
11	3	0	0.264138784
12	4	0	0.288151401
13	4	0	0.312164017
14	4	0	0.336176634
15	4	0	0.360189251
16	4	0	0.384201867
17	4	0	0.408214484
18	4	0	0.432227101
19	5	0	0.456239718
20	5	0	0.480252334
21	5	0	0.504264951
22	5	0	0.528277568
23	5	0	0.552290185
24	5	0	0.576302801
25	5	0	0.600315418
26	6	0	0.624328035
27	6	0	0.648340651
28	6	0	0.672353268
29	6	0	0.696365885
30	6	0	0.720378502
31	6	0	0.744391118
32	6	0	0.768403735
33	7	0	0.792416352
34	7	0	0.816428968
35	7	0	0.840441585
36	7	0	0.864454202
37	7	0	0.888466819
38	7	0	0.912479435
39	7	0	0.936492052
40	7	0	0.960504669
41	8	0	0.984517285
42	8	0	1.0085299
43	8	0	1.03254252
44	8	0	1.05655514
45	8	0	1.08056775
46	8	0	1.10458037
47	8	0	1.12859299
48	8	0	1.1526056
49	8	0	1.17661822
50	8	0	1.20063084
51	8	0	1.22464345
52	9	0	1.24865607
53	9	0	1.27266869
54	9	0	1.2966813
55	9	0	1.32069392
56	9	0	1.34470654
57	9	0	1.36871915
58	9	0	1.39273177
59	9	0	1.41674439
60	9	0	1.440757
61	9	0	1.46476962
62	9	0	1.48878224
