Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0242495035	9466.50035	9466.50035	9466.50035	9466.50035	0	0	0	0	0	0	3
2	2	0	0.0484990069	9382.1276	9424.31398	9382.1276	9466.50035	42.1863718	0	0	0	0	0	3
3	2	0	0.0727485104	9379.14087	9409.25627	9379.14087	9466.50035	57.2440752	0	0	0	0	0	3
4	2	0	0.0969980138	9378.4441	9401.55323	9378.4441	9466.50035	64.9471192	0	0	0	0	0	3
5	2	0	0.121247517	9377.77148	9396.79688	9377.77148	9466.50035	69.7034686	0	0	0	0	0	3
6	2	0	0.145497021	9377.32456	9393.55149	9377.32456	9466.50035	72.9488559	0	0	0	0	0	3
7	2	0	0.169746524	9376.80152	9391.15864	9376.80152	9466.50035	75.3417094	0	0	0	0	0	3
8	3	0	0.193996028	9376.69109	9389.3502	9376.69109	9466.50035	77.1501528	0	0	0	0	0	3
9	3	0	0.218245531	9376.34827	9387.90554	9376.34827	9466.50035	78.5948116	0	0	0	0	0	3
10	3	0	0.242495035	9376.05236	9386.72022	9376.05236	9466.50035	79.780129	0	0	0	0	0	3
11	3	0	0.266744538	9376.14671	9385.75899	9376.05236	9466.50035	80.7413568	0	0	0	0	0	3
12	3	0	0.290994041	9376.03687	9384.94881	9376.03687	9466.50035	81.5515334	0	0	0	0	0	3
13	3	0	0.315243545	9375.93921	9384.25577	9375.93921	9466.50035	82.2445798	0	0	0	0	0	3
14	4	0	0.339493048	9376.02847	9383.6681	9375.93921	9466.50035	82.8322442	0	0	0	0	0	3
15	4	0	0.363742552	9376.16773	9383.16808	9375.93921	9466.50035	83.3322693	0	0	0	0	0	3
16	4	0	0.387992055	9376.06251	9382.72398	9375.93921	9466.50035	83.7763675	0	0	0	0	0	3
17	4	0	0.412241559	9376.26636	9382.34412	9375.93921	9466.50035	84.1562274	0	0	0	0	0	3
18	4	0	0.436491062	9376.31838	9382.00936	9375.93921	9466.50035	84.4909909	0	0	0	0	0	3
19	4	0	0.460740566	9376.21352	9381.70431	9375.93921	9466.50035	84.796035	0	0	0	0	0	3
20	4	0	0.484990069	9376.33887	9381.43604	9375.93921	9466.50035	85.0643072	0	0	0	0	0	3
21	4	0	0.509239573	9376.27486	9381.19027	9375.93921	9466.50035	85.3100778	0	0	0	0	0	3
22	5	0	0.533489076	9376.41431	9376.90046	9375.93921	9382.1276	6.1883938	0	0	0	0	0	3
23	5	0	0.557738579	9376.3471	9376.6252	9375.93921	9379.14087	3.20165536	0	0	0	0	0	3
24	5	0	0.581988083	9376.41504	9376.4954	9375.93921	9378.4441	2.50488605	0	0	0	0	0	3
25	5	0	0.606237586	9376.37096	9376.39667	9375.93921	9377.77148	1.83227137	0	0	0	0	0	3
26	5	0	0.63048709	9376.34713	9376.32885	9375.93921	9377.32456	1.38534511	0	0	0	0	0	3
27	5	0	0.654736593	9376.42094	9376.28582	9375.93921	9376.80152	0.862306843	0	0	0	0	0	3
28	5	0	0.678986097	9376.37823	9376.26566	9375.93921	9376.69109	0.75188121	0	0	0	0	0	3
29	6	0	0.7032356	9376.43211	9376.25333	9375.93921	9376.43211	0.492899884	0	0	0	0	0	3
30	6	0	0.727485104	9376.4675	9376.25901	9375.93921	9376.4675	0.528290661	0	0	0	0	0	3
31	6	0	0.751734607	9376.40476	9376.27579	9375.93921	9376.4675	0.528290661	0	0	0	0	0	3
32	6	0	0.775984111	9376.42174	9376.28889	9375.93921	9376.4675	0.528290661	0	0	0	0	0	3
33	6	0	0.800233614	9376.41324	9376.30681	9375.93921	9376.4675	0.528290661	0	0	0	0	0	3
34	6	0	0.824483117	9376.33341	9376.32558	9376.02847	9376.4675	0.439034242	0	0	0	0	0	3
35	6	0	0.848732621	9376.43292	9376.34484	9376.06251	9376.4675	0.404993234	0	0	0	0	0	3
36	7	0	0.872982124	9376.4014	9376.35597	9376.06251	9376.4675	0.404993234	0	0	0	0	0	3
37	7	0	0.897231628	9376.30697	9376.36761	9376.21352	9376.4675	0.253981316	0	0	0	0	0	3
38	7	0	0.921481131	9376.36065	9376.3721	9376.21352	9376.4675	0.253981316	0	0	0	0	0	3
39	7	0	0.945730635	9376.3932	9376.37566	9376.21352	9376.4675	0.253981316	0	0	0	0	0	3
40	7	0	0.969980138	9376.34108	9376.38173	9376.27486	9376.4675	0.192643854	0	0	0	0	0	3
41	7	0	0.994229642	9376.31667	9376.38068	9376.27486	9376.4675	0.192643854	0	0	0	0	0	3
42	7	0	1.01847915	9376.31208	9376.38245	9376.30697	9376.4675	0.160530181	0.158059322	0	98.4	0	0	3
43	7	0	1.04272865	9376.31954	9376.37794	9376.30697	9376.4675	0.160530181	0.158059322	0	98.4	0	0	3
44	7	0	1.06697815	9376.31763	9376.37653	9376.30697	9376.4675	0.160530181	0.158059322	0	98.4	0	0	3
45	7	0	1.09122766	9376.25025	9376.36869	9376.25025	9376.4675	0.143344535	0.158059322	0	100	0	0	3
46	8	0	1.11547716	9376.29563	9376.3651	9376.25025	9376.4675	0.129119368	0.158059322	0	100	0	0	3
47	8	0	1.13972666	9376.37417	9376.36639	9376.25025	9376.4675	0.129119368	0.158059322	0	100	0	0	3
48	8	0	1.16397617	9376.17715	9376.35478	9376.17715	9376.4675	0.129119368	0.158059322	0	100	0	0	3
49	8	0	1.18822567	9376.32038	9376.35202	9376.17715	9376.4675	0.129119368	0.158059322	0	100	0	0	3
50	8	0	1.21247517	9376.24592	9376.34316	9376.17715	9376.4675	0.123441502	0.158059322	0	100	0	0	3
51	8	0	1.23672468	9376.23334	9376.33201	9376.17715	9376.43292	0.106660575	0.158059322	0	100	0	0	3
52	8	0	1.26097418	9376.27443	9376.3258	9376.17715	9376.43292	0.0935639431	0.158059322	0	100	0	0	3
53	8	0	1.28522368	9376.27396	9376.31876	9376.17715	9376.43292	0.0756418039	0.158059322	0	100	0	0	3
54	8	0	1.30947319	9376.22924	9376.31	9376.17715	9376.43292	0.0724483699	0.158059322	0	100	0	0	3
55	8	0	1.33372269	9376.24218	9376.30566	9376.17715	9376.43292	0.0767927665	0.158059322	0	100	0	0	3
56	8	0	1.35797219	9376.2889	9376.2988	9376.17715	9376.4014	0.0836508176	0.158059322	0	100	0	0	3
57	9	0	1.3822217	9376.21643	9376.28999	9376.17715	9376.3932	0.0924587418	0.158059322	0	100	0	0	3
58	9	0	1.4064712	9376.26378	9376.28793	9376.17715	9376.3932	0.0945155989	0.158059322	0	100	0	0	3
59	9	0	1.4307207	9376.24743	9376.28254	9376.17715	9376.3932	0.0999068608	0.158059322	0	100	0	0	3
60	9	0	1.45497021	9376.29867	9376.27804	9376.17715	9376.37417	0.104408039	0.158059322	0	100	0	0	3
61	9	0	1.47921971	9376.13731	9376.26834	9376.13731	9376.37417	0.114111348	0.158059322	0	100	0	0	3
62	9	0	1.50346921	9376.27167	9376.2662	9376.13731	9376.37417	0.116254289	0.158059322	0	100	0	0	3
63	9	0	1.52771872	9376.22921	9376.26225	9376.13731	9376.37417	0.11568776	0.158059322	0	100	0	0	3
